Date,ELEC.GEN.ALL-US-99.M,ELEC.GEN.AOR-US-99.M,ELEC.GEN.COW-US-99.M,ELEC.GEN.HPS-US-99.M,ELEC.GEN.HYC-US-99.M,ELEC.GEN.NG-US-99.M,ELEC.GEN.NUC-US-99.M,ELEC.GEN.OOG-US-99.M,ELEC.GEN.OTH-US-99.M,ELEC.GEN.PC-US-99.M,ELEC.GEN.PEL-US-99.M,ELEC.GEN.ALL-WY-99.M,ELEC.GEN.COW-WY-99.M,ELEC.GEN.PEL-WY-99.M,ELEC.GEN.PC-WY-99.M,ELEC.GEN.NG-WY-99.M,ELEC.GEN.OOG-WY-99.M,ELEC.GEN.NUC-WY-99.M,ELEC.GEN.HYC-WY-99.M,ELEC.GEN.AOR-WY-99.M,ELEC.GEN.HPS-WY-99.M,ELEC.GEN.OTH-WY-99.M,ELEC.GEN.TSN-WY-99.M
6/1/19,353239,36485,78540,-385,28078,138087,68805,1009,1101,563,957,3050,2511,5,--,77,19,--,96,336,--,6,24
7/1/19,410365,36724,100771,-622,24875,172282,72199,1185,1157,791,1004,3763,3223,5,--,78,1,--,106,344,--,5,24
8/1/19,401732,34422,94040,-579,22579,175270,71911,1147,1211,684,1047,3858,3342,4,--,81,11,--,101,313,--,7,23
9/1/19,360760,37439,85707,-671,18526,149938,66064,1112,1142,581,923,3699,3110,4,--,83,29,--,80,386,--,7,18
10/1/19,320518,39495,66777,-373,18306,131113,62033,924,1100,200,942,3403,2820,4,--,94,36,--,71,372,--,6,15
11/1/19,315897,35194,75549,-509,20218,117959,64125,1047,1082,333,899,3400,2814,4,--,105,33,--,66,371,--,7,9
12/1/19,338536,36268,72581,-529,21478,131973,73074,1107,1133,463,988,3900,3316,5,--,116,33,--,57,365,--,8,6
1/1/20,342019,38708,65140,-377,24498,136084,74170,1155,1093,633,915,3585,2758,5,--,121,35,--,76,584,--,7,8
2/1/20,319698,40534,56201,-247,25868,128018,65911,1152,971,540,749,3275,2535,2,--,107,32,--,80,512,--,7,14
3/1/20,309870,41951,50731,-353,23823,126187,63997,1047,1092,704,691,3458,2812,3,--,124,34,--,83,394,--,7,16
4/1/20,279846,43453,40675,-325,23194,110564,59170,802,1073,614,626,2963,2390,4,--,92,34,--,94,342,--,7,21
5/1/20,304837,43902,46527,-367,29976,117186,64338,884,1090,610,691,2950,2406,2,--,77,34,--,109,314,--,8,23
6/1/20,351967,45420,65283,-499,27999,143055,67205,867,1018,801,818,3070,2456,5,--,90,30,--,106,378,--,6,21
7/1/20,409871,39371,89709,-686,26742,181568,69385,937,1093,837,914,3910,3278,2,--,143,31,--,107,342,--,7,10
8/1/20,398536,38389,91145,-784,23284,173644,68982,1094,1107,787,887,3754,3102,5,--,209,32,--,108,294,--,4,19
9/1/20,333493,36585,68407,-525,18679,141397,65727,1013,1016,439,755,3199,2664,5,--,116,33,--,79,298,--,5,16
10/1/20,313703,41525,59805,-423,18810,131413,59362,918,1067,351,876,3651,2925,5,--,113,31,--,85,485,--,7,13
11/1/20,301403,44699,61182,-369,20893,109811,61760,950,1067,612,800,3962,3053,3,--,99,31,--,82,688,--,6,9
12/1/20,344523,43202,78588,-368,21508,127863,69871,999,1169,751,940,4234,2981,4,--,84,35,--,76,1046,--,8,8
1/1/21,349210,41790,81240,-424,24560,126530,71732,1035,1109,702,936,3883,2746,5,--,92,36,--,66,931,--,7,9
2/1/21,323900,38591,87470,-425,20137,111183,62954,820,921,660,1589,3447,2458,4,--,86,31,--,60,801,--,6,12
3/1/21,311397,54426,61904,-236,21220,107019,63708,860,1060,645,791,3475,2616,5,--,103,37,--,78,628,--,8,17
4/1/21,293308,52588,53956,-197,19389,107416,57092,871,969,422,802,3095,2170,6,--,146,35,--,79,652,--,7,20
5/1/21,320181,52059,63873,-416,23309,114676,63394,914,1003,534,835,3208,2404,7,--,126,30,--,82,554,--,6,23
6/1/21,373856,44703,87265,-376,23454,149376,66070,974,1006,453,932,3580,2858,4,--,153,22,--,75,462,--,7,22
7/1/21,405624,40003,101537,-685,22098,170189,68832,1046,1041,681,883,4079,3438,3,--,161,22,--,76,370,--,8,23
8/1/21,412865,45159,101855,-670,20328,172716,69471,1031,1031,747,1197,3792,3034,4,--,140,22,--,72,514,--,6,20
9/1/21,347744,45997,78877,-434,17022,138214,64520,984,975,638,950,3828,3072,5,--,156,29,--,57,503,--,6,20
10/1/21,320202,47077,62572,-427,17133,131852,58401,1062,982,655,894,3573,2589,4,--,112,33,--,48,779,--,8,14
11/1/21,314310,49195,57426,-377,19373,122433,62749,871,970,783,887,3438,2111,6,--,121,33,--,49,1111,--,8,10
12/1/21,337104,52094,60025,-445,23562,127586,70720,930,1073,591,968,4063,2542,7,--,105,30,--,49,1322,--,8,7
1/1/22,373766,51246,87588,-493,24198,134948,70577,1005,1029,564,3105,4098,2670,5,--,92,34,--,64,1226,--,8,11
2/1/22,324311,52117,70966,-412,21321,114945,61852,886,900,621,1114,3707,2434,4,--,65,26,--,55,1120,--,3,12
3/1/22,324531,60371,61019,-318,24436,112477,63154,953,979,500,959,3822,2620,5,--,77,27,--,74,1012,--,8,18
4/1/22,303994,64930,55329,-265,20066,105506,55290,921,941,528,749,3505,2263,5,--,121,27,--,70,1014,--,6,20
5/1/22,342184,62847,62532,-467,23359,127094,63382,1036,971,596,834,3319,2244,2,--,148,28,--,80,817,--,1,22
6/1/22,379134,55514,73463,-589,25988,155517,65715,987,959,683,897,3083,2231,6,--,128,29,--,72,610,--,8,25
7/1/22,422976,51265,86415,-768,24567,189042,68857,1083,982,488,1045,4059,3283,7,--,177,29,--,76,479,--,8,25
8/1/22,412134,45160,85215,-640,21133,188860,68897,1008,924,576,1001,4333,3634,3,--,185,18,--,63,427,--,2,22
9/1/22,351655,46126,64998,-598,17026,156948,63733,987,845,648,942,4053,3340,4,--,135,24,--,51,490,--,8,20
10/1/22,313949,49978,54228,-434,14367,133492,58945,968,844,610,952,4174,3242,2,--,178,28,--,41,674,--,8,16
11/1/22,321781,55182,56377,-495,17898,127523,62041,911,864,568,911,4010,2873,4,--,162,31,--,54,878,--,8,10
12/1/22,360257,51292,73381,-548,20430,140716,69094,978,876,744,3296,4185,2685,6,--,194,28,--,45,1219,--,8,7
1/1/23,347817,53158,61291,-612,22288,137541,70870,990,890,406,995,4164,2964,3,--,190,30,--,50,920,--,8,7
2/1/23,309116,56489,46488,-448,18682,123921,60807,912,801,335,1129,3329,2080,5,--,163,30,--,45,999,--,7,12
3/1/23,329839,62008,50067,-511,20228,132153,62820,961,814,323,976,3351,2165,4,--,166,34,--,49,926,--,7,18
4/1/23,299673,62603,40079,-281,17481,120478,56662,717,739,301,893,2805,1661,4,--,180,31,--,45,878,--,6,22
5/1/23,327533,54437,43852,-450,27479,137795,61473,901,857,286,902,2705,1770,7,--,180,30,--,93,623,--,1,19
6/1/23,356672,50357,57698,-542,19471,161693,64965,895,848,383,906,3234,2440,4,--,171,29,--,66,516,--,8,22
7/1/23,425611,52183,78910,-648,21238,200507,69888,995,870,702,967,4133,3375,3,--,189,10,--,60,489,--,7,25
8/1/23,423934,51854,78185,-644,21146,199993,69744,1151,815,701,990,4187,3310,2,--,223,27,--,52,565,--,8,23
9/1/23,358136,48806,60006,-544,16496,164466,65560,951,775,635,985,3519,2720,4,--,154,30,--,41,561,--,8,20
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
description,Net : all fuels : US,Net : renewables : US,Net : coal : US,Net : hydro-storage : US,Net hydroelectric : US,Net NG : US,Net : nuclear : US,Net : other gases : US,Net : other : US,Net  : petro coke : US,Net : petro liq : US,all fuels : WY,coal : WY,petro liq : WY,petro coke : WY,NG : WY,other gases : WY,nuclear : WY,hydroelec : WY,misc renews : WY,hydro-elec storage : WY,other : WY,solar : WY
units,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh,KMWh
