Month,Year,Tot.Consump.MMBtu,X...Per.kwh.Mo.Albany,WY.Tot.Consump.MMBtu,WY.Ave.by.County,NE-US-NG.$/BTU,S-US-Elec$/KWH,W-US-Elec$/KWH,West-US-Heat$/BTU,ELEC.GEN.TOT-US-99,ELEC.GEN.NG-US-99.M,ELEC.GEN.NUC-US-99.M,ELEC.GEN.ALL-WY-99.M,ELEC.GEN.COW-WY-99.M,ELEC.GEN.PEL-WY-99.M,ELEC.GEN.NG-WY-99.M,ELEC.GEN.HYC-WY-99.M
7,2022,39,12.59,37.65838,70.93913043,1.651,0.153,0.172,1.735,422976,189042,68857,4059,3283,7,177,76
8,2022,43,12.59,40.62399,69.56086957,1.694,0.155,0.173,1.791,412134,188860,68897,4333,3634,3,185,63
9,2022,38,12.59,41.63661,61.76086957,1.776,0.155,0.173,1.834,351655,156948,63733,4053,3340,4,135,51
10,2022,38,12.59,41.55071,45.88695652,1.728,0.153,0.185,1.782,313949,133492,58945,4174,3242,2,178,41
11,2022,34,12.59,39.45802,25.95652174,1.744,0.15,0.181,1.732,321781,127523,62041,4010,2873,4,162,54
12,2022,34,12.59,37.9774,19.04782609,1.774,0.152,0.182,1.866,360257,140716,69094,4185,2685,6,194,45
1,2023,37,15.53,37.43584,21.20434783,1.763,0.152,0.188,2.842,347817,137541,70870,4164,2964,3,190,50
2,2023,26,15.53,39.54405,19.80434783,1.714,0.153,0.188,2.02,309116,123921,60807,3329,2080,5,163,45
3,2023,27,15.53,36.93764,24.6173913,1.587,0.148,0.193,1.753,329839,132153,62820,3351,2165,4,166,49
4,2023,22,15.53,35.06439,37.1826087,1.487,0.148,0.193,1.658,299673,120478,56662,2805,1661,4,180,45
5,2023,25,15.53,30.14247,54.4,1.402,0.147,0.195,1.697,327533,137795,61473,2705,1770,7,180,93
6,2023,30,15.53,34.85928,59.11304348,1.36,0.152,0.195,1.712,356672,161693,64965,3234,2440,4,171,66
